A,B
0.4925373134328358,0.8656716417910447
0.9253731343283582,0.3880597014925373
0.6268656716417911,0.7910447761194029
0.7761194029850746,0.6268656716417911
0.6268656716417911,0.7611940298507462
0.3283582089552239,0.9552238805970149
0.9552238805970149,0.2835820895522388
0.31343283582089554,0.9402985074626866
0.7313432835820896,0.6865671641791045
1.0,0.07462686567164178
0.5522388059701493,0.835820895522388
0.9253731343283582,0.373134328358209
0.9701492537313433,0.2537313432835821
0.08955223880597014,1.0
0.7910447761194029,0.6268656716417911
0.9850746268656716,0.1791044776119403
0.9701492537313433,0.16417910447761194
0.43283582089552236,0.8955223880597015
0.3283582089552239,0.9402985074626866
0.7014925373134329,0.7164179104477612
0.7313432835820896,0.6865671641791045
1.0,0.08955223880597014
0.7014925373134329,0.7014925373134329
0.7164179104477612,0.6865671641791045
0.2835820895522388,0.9552238805970149
0.5671641791044776,0.835820895522388
0.43283582089552236,0.8955223880597015
0.6567164179104478,0.7761194029850746
0.16417910447761194,0.9850746268656716
1.0,0.1044776119402985
0.08955223880597014,0.9850746268656716
0.3283582089552239,0.9402985074626866
0.1791044776119403,0.9850746268656716
0.8955223880597015,0.43283582089552236
0.9402985074626866,0.373134328358209
0.2835820895522388,0.9552238805970149
0.6716417910447762,0.746268656716418
0.6268656716417911,0.7910447761194029
0.5522388059701493,0.835820895522388
0.31343283582089554,0.9402985074626866
0.5373134328358209,0.8507462686567164
0.7164179104477612,0.6865671641791045
0.34328358208955223,0.9104477611940298
0.9850746268656716,0.07462686567164178
0.8955223880597015,0.43283582089552236
0.6567164179104478,0.746268656716418
0.22388059701492538,0.9701492537313433
0.8059701492537313,0.5970149253731343
0.22388059701492538,0.9701492537313433
0.7611940298507462,0.7313432835820896
